53	1	Araba/Álava	2011-09-30	2011-09-30	f
54	2	Albacete	2011-09-30	2011-09-30	f
55	3	Alicante	2011-09-30	2011-09-30	f
56	4	Almería	2011-09-30	2011-09-30	f
57	5	Ávila	2011-09-30	2011-09-30	f
58	6	Badajoz	2011-09-30	2011-09-30	f
59	7	Balears, Illes	2011-09-30	2011-09-30	f
60	8	Barcelona	2011-09-30	2011-09-30	f
61	9	Burgos	2011-09-30	2011-09-30	f
62	10	Cáceres	2011-09-30	2011-09-30	f
63	11	Cádiz	2011-09-30	2011-09-30	f
64	12	Castellón/Castelló	2011-09-30	2011-09-30	f
65	13	Ciudad Real	2011-09-30	2011-09-30	f
66	14	Córdoba	2011-09-30	2011-09-30	f
67	15	Coruña, A	2011-09-30	2011-09-30	f
68	16	Cuenca	2011-09-30	2011-09-30	f
69	17	Girona	2011-09-30	2011-09-30	f
70	18	Granada	2011-09-30	2011-09-30	f
71	19	Guadalajara	2011-09-30	2011-09-30	f
72	20	Gipuzkoa	2011-09-30	2011-09-30	f
73	21	Huelva	2011-09-30	2011-09-30	f
74	22	Huesca	2011-09-30	2011-09-30	f
75	23	Jaén	2011-09-30	2011-09-30	f
76	24	León	2011-09-30	2011-09-30	f
77	25	Lleida	2011-09-30	2011-09-30	f
78	26	Rioja, La	2011-09-30	2011-09-30	f
79	27	Lugo	2011-09-30	2011-09-30	f
80	28	Madrid	2011-09-30	2011-09-30	f
81	29	Málaga	2011-09-30	2011-09-30	f
82	30	Murcia	2011-09-30	2011-09-30	f
83	31	Navarra	2011-09-30	2011-09-30	f
84	32	Ourense	2011-09-30	2011-09-30	f
85	33	Asturias	2011-09-30	2011-09-30	f
86	34	Palencia	2011-09-30	2011-09-30	f
87	35	Palmas, Las	2011-09-30	2011-09-30	f
88	36	Pontevedra	2011-09-30	2011-09-30	f
89	37	Salamanca	2011-09-30	2011-09-30	f
90	38	Santa Cruz de Tenerife	2011-09-30	2011-09-30	f
91	39	Cantabria	2011-09-30	2011-09-30	f
92	40	Segovia	2011-09-30	2011-09-30	f
93	41	Sevilla	2011-09-30	2011-09-30	f
94	42	Soria	2011-09-30	2011-09-30	f
95	43	Tarragona	2011-09-30	2011-09-30	f
96	44	Teruel	2011-09-30	2011-09-30	f
97	45	Toledo	2011-09-30	2011-09-30	f
98	46	Valencia/Valéncia	2011-09-30	2011-09-30	f
99	47	Valladolid	2011-09-30	2011-09-30	f
100	48	Bizkaia	2011-09-30	2011-09-30	f
101	49	Zamora	2011-09-30	2011-09-30	f
102	50	Zaragoza	2011-09-30	2011-09-30	f
103	51	Ceuta	2011-09-30	2011-09-30	f
104	52	Melilla	2011-09-30	2011-09-30	f
105	100	Mallorca	2011-09-30	2011-09-30	t
106	101	Menorca	2011-09-30	2011-09-30	t
107	102	Gran Canaria	2011-09-30	2011-09-30	t
108	103	Fuerteventura	2011-09-30	2011-09-30	t
109	104	Lanzarote	2011-09-30	2011-09-30	t
110	105	Tenerife	2011-09-30	2011-09-30	t
111	106	La Palma	2011-09-30	2011-09-30	t
112	107	El Hierro	2011-09-30	2011-09-30	t
113	108	La Gomera	2011-09-30	2011-09-30	t